"","Full","Stem","Index","Min","Max","Total","Keep","Root_Index"
"1","home","home",1,4,413,12134,1,NA
"2","pride","pride",2,0,7,107,1,NA
"4","ownership","ownership",4,0,7,113,1,NA
"12","perched","perch",12,0,15,350,1,NA
"14","burke","burk",14,0,11,286,1,NA
"15","gilman","gilman",15,0,11,278,1,NA
"16","trail","trail",16,0,21,465,1,NA
"21","spaces","space",21,0,160,5228,1,NA
"27","active","activ",27,0,9,128,1,NA
"28","lifestyle","lifestyl",28,0,10,234,1,NA
"29","oversized","overs",29,0,25,608,1,NA
"30","master","master",30,1,142,4213,1,NA
"31","suite","suit",31,0,89,2583,1,NA
"33","adjoining","adjoin",33,0,11,227,1,NA
"34","sitting","sit",34,0,34,898,1,NA
"35","room","room",35,3,426,13868,1,NA
"36","deck","deck",36,0,175,5167,1,NA
"42","bdrms","bdrm",43,0,68,1572,1,82
"44","private","privat",45,0,109,3210,1,NA
"45","living","live",46,2,220,7030,1,NA
"49","open","open",50,0,146,4692,1,NA
"50","kitchen","kitchen",51,1,292,9503,1,NA
"51","layout","layout",52,0,9,253,1,81
"52","family","famili",53,0,83,2753,1,NA
"53","mature","matur",54,0,20,600,1,NA
"54","lush","lush",55,0,17,405,1,NA
"55","yard","yard",56,0,117,4064,1,NA
"59","large","larg",61,0,188,6282,1,NA
"61","gem","gem",63,0,16,325,1,NA
"62","sunny","sunni",64,0,40,1034,1,90
"64","bright","bright",66,0,44,1099,1,NA
"66","quiet","quiet",68,0,52,1547,1,NA
"68","building","build",70,0,21,309,1,NA
"71","western","western",73,0,9,227,1,NA
"72","exposure","exposur",74,0,10,261,1,NA
"75","maintained","maintain",77,0,33,891,1,NA
"76","newer","newer",78,0,56,1841,1,NA
"77","windows","window",79,0,127,4442,1,NA
"78","spacious","spaciou",80,0,121,3468,1,NA
"79","floorplan","floorplan",81,0,10,212,1,NA
"80","bedroom","bedroom",82,2,250,7565,1,NA
"81","bath","bath",83,3,291,8660,1,NA
"82","2nd","2nd",84,0,45,1017,1,NA
"83","tiled","tile",85,0,61,2029,1,NA
"84","tub","tub",86,0,30,1038,1,NA
"85","shower","shower",87,0,21,466,1,NA
"87","fireplace","fireplac",89,0,137,4343,1,NA
"88","sun","sun",90,0,23,626,1,NA
"89","appliances","applianc",91,0,81,2355,1,NA
"90","range","rang",92,0,19,586,1,NA
"91","fridge","fridg",93,0,6,122,1,992
"92","dishwasher","dishwash",94,0,5,122,1,NA
"94","washer","washer",96,0,10,195,1,NA
"95","dryer","dryer",97,0,10,205,1,NA
"96","dining","dine",98,0,141,4770,1,NA
"99","hardwoods","hardwood",101,0,127,4484,1,NA
"101","painted","paint",103,0,55,1855,1,NA
"103","new","new",105,1,189,6852,1,NA
"104","light","light",106,1,144,4295,1,NA
"106","storage","storag",108,0,93,2698,1,NA
"109","updated","updat",111,0,156,5282,1,NA
"110","georgetown","georgetown",112,0,5,58,1,NA
"115","original","origin",117,0,61,1571,1,NA
"116","character","charact",118,0,15,314,1,NA
"117","details","detail",119,0,41,1295,1,NA
"119","picture","pictur",121,0,17,553,1,NA
"120","rail","rail",122,0,37,806,1,NA
"121","molding","mold",123,0,18,503,1,NA
"122","knobs","knob",124,0,4,75,1,NA
"123","fir","fir",125,0,27,632,1,NA
"124","floors","floor",126,0,339,10564,1,NA
"129","fall","fall",131,0,9,129,1,NA
"136","huge","huge",138,0,67,1916,1,NA
"138","fenced","fenc",140,0,82,2590,1,NA
"139","outdoor","outdoor",141,0,37,927,1,NA
"140","play","plai",142,0,17,560,1,NA
"142","paned","pane",144,0,26,655,1,NA
"143","electric","electr",145,0,35,1126,1,NA
"144","plumbing","plumb",146,0,45,1400,1,NA
"147","wine","wine",149,0,11,307,1,NA
"148","cellar","cellar",150,0,8,168,1,NA
"149","detached","detach",151,0,43,1288,1,NA
"150","office","offic",152,0,52,1802,1,NA
"151","music","music",153,0,3,34,1,NA
"152","art","art",154,0,11,287,1,NA
"153","studio","studio",155,0,19,503,1,NA
"156","remodeled","remodel",158,0,86,3083,1,NA
"157","lot","lot",160,0,132,3767,1,NA
"158","natural","natur",161,0,37,1123,1,NA
"159","sw","sw",162,0,6,100,1,1461
"160","located","locat",163,0,134,4078,1,NA
"161","n","n",164,0,5,87,1,539
"162","beacon","beacon",165,0,24,309,1,NA
"163","hill","hill",166,0,45,1023,1,NA
"167","access","access",170,0,85,2683,1,NA
"168","bus","bu",171,0,37,781,1,NA
"169","shops","shop",172,0,84,2918,1,NA
"170","grocery","groceri",173,0,8,162,1,NA
"171","parks","park",174,0,209,5172,1,NA
"172","hospital","hospit",175,0,7,115,1,NA
"174","backyard","backyard",177,0,83,2315,1,NA
"175","basement","basement",178,0,84,2685,1,NA
"176","rents","rent",179,0,11,120,1,181
"178","rental","rental",181,0,12,158,1,NA
"179","sites","site",182,0,14,427,1,NA
"181","roof","roof",185,0,59,1993,1,NA
"183","crown","crown",187,0,12,380,1,NA
"184","doors","door",188,0,67,2310,1,NA
"185","fix","fix",189,0,2,23,1,NA
"188","refinished","refinish",192,0,31,743,1,NA
"189","hrdwds","hrdwd",193,0,6,134,1,101
"190","french","french",194,0,41,1259,1,NA
"192","landscaping","landscap",196,0,55,1638,1,NA
"193","near","near",197,0,24,643,1,NA
"196","neighborhood","neighborhood",201,0,71,1904,1,NA
"199","oak","oak",204,0,34,909,1,NA
"200","carpet","carpet",205,0,32,1011,1,NA
"201","area","area",206,0,96,3141,1,NA
"202","gas","ga",207,0,92,2830,1,NA
"205","garden","garden",210,0,95,2818,1,NA
"206","views","view",211,1,212,5654,1,NA
"207","city","citi",212,0,49,1496,1,NA
"208","mt","mt",213,0,19,615,1,NA
"209","rainier","rainier",214,0,27,513,1,NA
"211","separate","separ",216,0,36,887,1,NA
"212","daylight","daylight",217,0,24,617,1,NA
"213","income","incom",219,0,7,114,1,NA
"214","potential","potenti",220,0,48,1021,1,NA
"215","car","car",221,0,112,3070,1,NA
"216","garage","garag",222,0,149,4722,1,NA
"217","story","stori",224,0,20,608,1,NA
"218","house","hous",225,0,36,1323,1,NA
"219","main","main",227,0,144,4204,1,NA
"220","level","level",228,0,224,5816,1,NA
"222","eating","eat",230,0,45,1572,1,NA
"223","slider","slider",231,0,11,209,1,NA
"224","covered","cover",232,0,42,1028,1,NA
"226","boeing","boe",234,0,4,31,1,NA
"231","two","two",239,0,73,2149,1,NA
"232","unfinished","unfinish",240,0,25,585,1,NA
"234","fruit","fruit",242,0,12,366,1,NA
"235","trees","tree",243,0,35,1027,1,NA
"236","carport","carport",244,0,15,321,1,NA
"237","value","valu",245,0,9,203,1,NA
"238","land","land",246,0,6,113,1,NA
"239","freeways","freewai",247,0,17,377,1,NA
"242","end","end",250,0,25,740,1,NA
"243","setting","set",251,0,35,845,1,NA
"245","minutes","minut",253,0,40,955,1,NA
"248","seattle","seattl",256,0,98,2082,1,NA
"249","blend","blend",257,0,10,255,1,NA
"250","quality","qualiti",258,0,22,508,1,NA
"251","design","design",259,0,56,1473,1,NA
"253","ceilings","ceil",261,0,102,3485,1,NA
"254","maple","mapl",262,0,14,520,1,NA
"255","granite","granit",263,0,61,1770,1,NA
"256","finishes","finish",264,0,78,2536,1,NA
"257","built","built",265,0,68,2493,1,NA
"258","luxurious","luxuri",266,0,18,365,1,NA
"259","owner","owner",267,0,21,568,1,NA
"260","vaulted","vault",268,0,29,844,1,NA
"262","frplc","frplc",270,0,9,201,1,89
"266","patio","patio",274,0,81,2548,1,NA
"268","maintenance","mainten",276,0,9,241,1,NA
"269","hardi","hardi",277,0,3,39,1,101
"272","commutes","commut",280,0,30,538,1,NA
"274","brick","brick",282,0,32,875,1,NA
"275","unobstructed","unobstruct",283,0,5,71,1,NA
"276","lake","lake",284,1,85,2082,1,NA
"277","washington","washington",285,0,29,557,1,NA
"278","island","island",286,0,19,477,1,NA
"279","charm","charm",287,0,80,2793,1,NA
"281","hard","hard",290,0,6,112,1,NA
"282","wood","wood",291,0,80,1935,1,NA
"285","apartment","apart",294,0,6,113,1,NA
"289","cozy","cozi",298,0,30,715,1,NA
"290","laundry","laundri",299,0,47,1437,1,NA
"291","school","school",300,0,42,1119,1,NA
"295","panoramic","panoram",304,0,9,152,1,NA
"296","mountains","mountain",305,0,36,956,1,NA
"298","counter","counter",307,0,58,1967,1,NA
"300","ss","ss",309,0,20,548,1,344
"305","craftsman","craftsman",314,0,57,1916,1,NA
"308","plan","plan",318,0,70,1968,1,81
"310","gorgeous","gorgeou",320,0,42,1059,1,NA
"312","beams","beam",322,0,17,352,1,NA
"314","leaded","lead",324,0,52,1349,1,NA
"315","gourmet","gourmet",325,0,23,508,1,NA
"316","kit","kit",326,0,19,350,1,51
"317","drs","dr",327,0,10,231,1,188
"318","entertaining","entertain",328,0,108,3036,1,NA
"321","mstr","mstr",331,0,6,149,1,30
"323","media","media",333,0,26,755,1,NA
"324","work","work",334,0,19,692,1,NA
"328","mtn","mtn",338,0,9,215,1,NA
"329","vistas","vista",339,0,5,99,1,NA
"330","bungalow","bungalow",340,0,24,770,1,NA
"331","heart","heart",341,0,29,835,1,NA
"333","key","kei",343,0,6,177,1,1517
"334","stainless","stainless",344,0,47,1485,1,NA
"335","clawfoot","clawfoot",345,0,4,57,1,NA
"337","rec","rec",347,0,43,1246,1,NA
"338","stone","stone",348,0,15,436,1,NA
"339","block","block",349,0,54,1451,1,NA
"340","pergola","pergola",350,0,2,32,1,NA
"341","exterior","exterior",351,0,22,569,1,NA
"343","centrally","central",353,0,15,317,1,NA
"345","downtown","downtown",355,0,54,1456,1,NA
"346","ravenna","ravenna",356,0,9,214,1,NA
"347","sf","sf",357,0,11,228,1,670
"348","bathroom","bathroom",358,0,48,1625,1,NA
"353","bed","bed",363,0,53,1492,1,82
"354","stairs","stair",364,0,6,138,1,NA
"361","pets","pet",371,0,6,91,1,NA
"364","fresco","fresco",374,0,4,53,1,NA
"366","restaurants","restaur",376,0,50,1350,1,NA
"367","village","villag",377,0,22,569,1,NA
"368","u","u",378,0,9,269,1,380
"369","university","univers",380,0,7,142,1,NA
"370","children","children",381,0,7,129,1,NA
"373","walk","walk",384,1,116,3351,1,NA
"374","alaska","alaska",385,0,7,115,1,NA
"375","st","st",386,0,7,170,1,115
"377","studs","stud",388,0,8,141,1,NA
"378","slab","slab",389,0,18,484,1,NA
"379","glass","glass",390,0,34,1041,1,NA
"382","renovated","renov",393,0,19,544,1,NA
"385","modern","modern",396,0,62,1508,1,NA
"387","guest","guest",398,0,30,838,1,NA
"389","upgrades","upgrad",400,0,22,587,1,NA
"393","vinyl","vinyl",404,0,12,347,1,NA
"394","copper","copper",405,0,11,266,1,NA
"395","interior","interior",406,0,28,835,1,NA
"398","genesee","genese",409,0,5,98,1,NA
"401","rambler","rambler",412,0,18,545,1,NA
"402","peek","peek",413,0,8,177,1,NA
"403","sound","sound",414,0,50,1251,1,NA
"404","corner","corner",415,0,38,1055,1,NA
"405","burning","burn",416,0,34,688,1,NA
"407","gutters","gutter",418,0,8,136,1,NA
"409","boat","boat",420,0,10,194,1,NA
"410","sport","sport",421,0,5,99,1,NA
"411","court","court",422,0,8,134,1,NA
"412","schmitz","schmitz",423,0,4,64,1,NA
"413","elementary","elementari",424,0,15,227,1,NA
"417","holiday","holidai",428,0,3,35,1,NA
"419","south","south",430,0,17,406,1,NA
"428","4th","4th",440,0,17,486,1,NA
"429","stove","stove",441,0,18,381,1,NA
"432","used","us",444,0,21,525,1,NA
"433","single","singl",445,0,8,182,1,NA
"434","close","close",446,0,78,1990,1,NA
"435","farm","farm",447,0,4,76,1,NA
"436","builder","builder",448,0,7,141,1,NA
"437","dream","dream",449,0,19,445,1,NA
"438","legal","legal",450,0,5,65,1,NA
"439","tax","tax",451,0,3,47,1,NA
"442","square","squar",454,0,12,298,1,NA
"443","feet","feet",455,0,9,157,1,NA
"444","ground","ground",456,0,11,343,1,NA
"445","territorial","territori",457,0,18,493,1,NA
"446","sunsets","sunset",458,0,22,494,1,NA
"447","lincoln","lincoln",459,0,9,229,1,NA
"448","southern","southern",460,0,5,125,1,NA
"450","rehab","rehab",462,0,4,37,1,NA
"453","sale","sale",465,0,11,166,1,NA
"455","urban","urban",467,0,18,387,1,NA
"456","retreat","retreat",468,0,12,327,1,NA
"460","stylish","stylish",473,0,12,282,1,NA
"461","quartz","quartz",474,0,25,401,1,NA
"464","west","west",477,0,45,958,1,NA
"465","facing","face",478,0,26,646,1,NA
"468","recreation","recreat",481,0,6,164,1,NA
"469","clean","clean",482,0,10,285,1,NA
"474","showing","show",487,0,7,164,1,NA
"475","nestled","nestl",488,0,15,302,1,NA
"477","road","road",490,0,7,42,1,NA
"481","century","centuri",494,0,40,1263,1,NA
"483","privacy","privaci",496,0,26,663,1,NA
"484","slate","slate",497,0,10,260,1,NA
"485","circular","circular",498,0,12,317,1,NA
"486","sized","size",499,0,42,1271,1,NA
"487","own","own",500,0,27,695,1,NA
"488","nw","nw",501,0,13,260,1,1202
"489","contemporary","contemporari",502,0,25,577,1,NA
"490","blks","blk",503,0,6,103,1,349
"491","hdwds","hdwd",504,0,11,246,1,101
"492","flr","flr",505,0,26,860,1,126
"493","liv","liv",506,0,14,202,1,46
"494","din","din",507,0,9,195,1,98
"495","rm","rm",508,0,87,2235,1,35
"496","wet","wet",509,0,8,207,1,NA
"497","bar","bar",510,0,25,718,1,NA
"498","fpl","fpl",511,0,4,41,1,89
"500","bth","bth",513,0,20,519,1,83
"501","closet","closet",514,0,68,1709,1,NA
"502","utility","util",515,0,21,672,1,NA
"507","elevator","elev",520,0,5,73,1,NA
"510","secluded","seclud",523,0,8,185,1,NA
"511","ferry","ferri",524,0,7,117,1,NA
"512","pool","pool",525,0,8,254,1,NA
"516","heat","heat",529,0,43,1279,1,NA
"517","pump","pump",530,0,9,141,1,NA
"521","cedar","cedar",534,0,11,261,1,NA
"525","north","north",539,0,18,400,1,NA
"526","degrees","degre",542,0,3,52,1,NA
"527","puget","puget",543,0,21,395,1,NA
"528","olympic","olymp",544,0,25,649,1,NA
"532","day","dai",548,0,13,387,1,NA
"533","gatewood","gatewood",549,0,5,71,1,NA
"537","estate","estat",554,0,7,173,1,NA
"538","investors","investor",555,0,5,77,1,NA
"541","buyers","buyer",558,0,13,307,1,NA
"547","fixer","fixer",564,0,8,125,1,NA
"549","sold","sold",566,0,7,175,1,NA
"550","priced","price",567,0,10,279,1,NA
"551","shared","share",568,0,6,129,1,NA
"552","driveway","drivewai",569,0,14,269,1,NA
"553","spot","spot",570,0,7,172,1,NA
"555","arbor","arbor",572,0,11,194,1,NA
"556","heights","height",573,0,20,606,1,NA
"557","sq","sq",575,0,28,669,1,670
"561","bbq","bbq",579,0,20,424,1,NA
"563","secure","secur",581,0,6,160,1,NA
"564","gleaming","gleam",582,0,26,607,1,NA
"565","reclaimed","reclaim",583,0,3,34,1,NA
"569","nook","nook",587,0,24,734,1,NA
"571","massive","massiv",589,0,6,105,1,NA
"574","green","green",592,0,32,892,1,NA
"575","summer","summer",593,0,28,464,1,NA
"577","furnace","furnac",595,0,35,1144,1,NA
"578","water","water",596,0,31,977,1,NA
"579","heater","heater",597,0,15,453,1,NA
"580","solar","solar",598,0,6,55,1,NA
"581","tv","tv",599,0,4,81,1,NA
"582","craft","craft",600,0,8,174,1,NA
"585","vanity","vaniti",603,0,8,131,1,NA
"586","adjacent","adjac",604,0,14,293,1,NA
"587","galley","gallei",605,0,4,35,1,NA
"588","breakfast","breakfast",606,0,17,475,1,NA
"589","table","tabl",607,0,6,101,1,NA
"590","steel","steel",608,0,23,683,1,344
"592","screened","screen",610,0,4,56,1,NA
"593","plantings","plant",611,0,16,340,1,NA
"594","converted","convert",612,0,7,138,1,NA
"597","spa","spa",615,0,17,267,1,NA
"598","era","era",616,0,6,136,1,NA
"601","craftsmanship","craftsmanship",619,0,8,116,1,NA
"603","year","year",621,0,35,804,1,NA
"608","exposed","expos",626,0,4,117,1,NA
"609","colors","color",627,0,13,365,1,NA
"610","cooking","cook",628,0,18,495,1,NA
"611","alley","allei",629,0,35,1134,1,NA
"612","shrubs","shrub",630,0,2,29,1,NA
"613","flowers","flower",631,0,6,128,1,NA
"614","friendly","friendli",632,0,8,171,1,NA
"617","fauntleroy","fauntleroi",635,0,5,92,1,NA
"622","2baths","2bath",640,0,3,25,1,358
"624","fp","fp",642,0,9,290,1,89
"625","comfortable","comfort",643,0,23,442,1,NA
"627","den","den",645,0,34,885,1,NA
"628","attached","attach",646,0,44,1077,1,NA
"632","3bds","3bd",651,0,4,38,1,82
"633","concept","concept",652,0,17,320,1,81
"634","countertops","countertop",653,0,16,457,1,NA
"635","espresso","espresso",654,0,4,57,1,NA
"636","cabinets","cabinet",655,0,40,1367,1,NA
"638","trex","trex",657,0,4,85,1,NA
"640","hobby","hobbi",659,0,6,129,1,NA
"641","shed","shed",660,0,18,439,1,NA
"642","centers","center",661,0,14,372,1,NA
"643","ba","ba",662,0,11,244,1,358
"644","season","season",663,0,4,66,1,NA
"646","airy","airi",665,0,7,149,1,NA
"647","cabinetry","cabinetri",666,0,11,375,1,NA
"648","overlooking","overlook",667,0,29,764,1,NA
"651","sqft","sqft",670,0,10,187,1,NA
"652","gar","gar",671,0,10,227,1,222
"653","gated","gate",672,0,8,172,1,NA
"654","drive","drive",673,0,10,180,1,NA
"656","miles","mile",675,0,7,113,1,NA
"658","bustling","bustl",677,0,4,52,1,NA
"659","alki","alki",678,0,9,248,1,NA
"660","beach","beach",679,0,44,933,1,NA
"663","midcentury","midcenturi",682,0,3,28,1,NA
"665","bamboo","bamboo",684,0,10,244,1,NA
"666","stained","stain",685,0,6,128,1,NA
"669","sweeping","sweep",688,0,15,290,1,NA
"670","elliott","elliott",689,0,4,62,1,NA
"671","bay","bai",690,0,13,368,1,NA
"673","cute","cute",692,0,11,297,1,NA
"676","future","futur",695,0,14,258,1,NA
"679","distance","distanc",698,0,18,450,1,NA
"680","br","br",699,0,36,843,1,82
"684","sewer","sewer",703,0,12,266,1,NA
"686","convenience","conveni",705,0,30,1006,1,NA
"687","townhouse","townhous",706,0,3,32,1,NA
"696","balcony","balconi",715,0,9,216,1,NA
"697","vac","vac",716,0,2,27,1,1098
"698","lawn","lawn",717,0,11,178,1,NA
"700","lovingly","lovingli",719,0,17,309,1,NA
"702","admiral","admir",721,0,10,239,1,NA
"703","way","wai",722,0,9,193,1,NA
"705","soak","soak",724,0,9,235,1,NA
"707","thumb","thumb",726,0,2,25,1,NA
"708","rose","rose",727,0,4,47,1,NA
"709","bushes","bush",728,0,3,27,1,NA
"711","expansive","expans",730,0,32,734,1,NA
"712","tranquil","tranquil",731,0,13,232,1,NA
"713","sanctuary","sanctuari",732,0,9,103,1,NA
"714","host","host",733,0,8,97,1,NA
"715","party","parti",734,0,13,224,1,NA
"717","stores","store",736,0,8,147,1,NA
"722","smart","smart",741,0,5,107,1,NA
"728","wiring","wire",747,0,20,482,1,NA
"729","insulation","insul",748,0,13,273,1,NA
"730","hydronic","hydron",749,0,2,31,1,NA
"731","boiler","boiler",750,0,3,30,1,NA
"732","rv","rv",751,0,8,230,1,NA
"739","arched","arch",759,0,9,198,1,NA
"740","doorways","doorwai",760,0,5,100,1,188
"742","elegantly","elegantli",762,0,3,41,1,NA
"743","cherry","cherri",763,0,13,394,1,NA
"746","wireless","wireless",766,0,3,27,1,NA
"747","architecturally","architectur",767,0,14,308,1,NA
"749","cool","cool",769,0,14,245,1,NA
"751","porch","porch",771,0,38,1020,1,NA
"752","rare","rare",772,0,26,596,1,NA
"754","custom","custom",774,0,44,1404,1,NA
"757","nursery","nurseri",777,0,8,86,1,NA
"760","lvg","lvg",781,0,4,26,1,46
"766","appeal","appeal",787,0,9,235,1,NA
"767","outside","outsid",788,0,14,356,1,NA
"768","winter","winter",789,0,4,89,1,NA
"771","reading","read",792,0,4,86,1,NA
"777","meals","meal",798,0,3,42,1,NA
"780","footage","footag",801,0,4,63,1,NA
"783","paved","pave",804,0,5,116,1,NA
"785","town","town",806,0,5,92,1,NA
"788","usable","usabl",809,0,3,32,1,NA
"789","farmhouse","farmhous",811,0,7,154,1,NA
"790","vintage","vintag",812,0,14,436,1,NA
"791","tall","tall",813,0,9,201,1,NA
"793","equity","equiti",815,0,5,91,1,NA
"794","cafes","cafe",816,0,18,318,1,NA
"796","little","littl",818,0,7,171,1,NA
"798","cork","cork",820,0,5,70,1,NA
"799","chic","chic",821,0,4,76,1,NA
"800","accents","accent",822,0,7,187,1,NA
"801","outlook","outlook",823,0,4,85,1,NA
"806","amenities","amen",828,0,22,541,1,NA
"807","shaker","shaker",829,0,4,58,1,NA
"808","multi","multi",830,0,6,143,1,NA
"809","1940s","1940",831,0,5,117,1,NA
"810","greenery","greeneri",832,0,3,51,1,NA
"811","recessed","recess",833,0,6,84,1,NA
"815","creek","creek",837,0,9,92,1,NA
"816","cape","cape",838,0,17,441,1,NA
"819","cared","care",841,0,12,337,1,NA
"820","free","free",843,0,7,84,1,NA
"822","organic","organ",845,0,4,110,1,NA
"823","veggie","veggi",846,0,3,48,1,958
"824","refurbished","refurbish",847,0,2,28,1,NA
"825","worlds","world",848,0,15,394,1,NA
"827","nights","night",850,0,7,108,1,NA
"828","drop","drop",851,0,3,41,1,NA
"830","barn","barn",853,0,3,33,1,NA
"831","kitchenette","kitchenett",854,0,6,87,1,NA
"833","morgan","morgan",856,0,4,82,1,NA
"834","vibrant","vibrant",857,0,9,151,1,NA
"835","roosevelt","roosevelt",858,0,3,47,1,NA
"836","bedrms","bedrm",859,0,8,246,1,82
"837","efficiency","effici",860,0,17,518,1,NA
"838","uw","uw",861,0,17,397,1,NA
"842","desirable","desir",866,0,19,687,1,NA
"843","wallingford","wallingford",867,0,12,230,1,NA
"844","community","commun",868,0,19,415,1,NA
"846","restored","restor",870,0,13,355,1,NA
"847","white","white",871,0,14,264,1,NA
"848","hw","hw",872,0,3,43,1,101
"849","antique","antiqu",873,0,2,28,1,NA
"854","loft","loft",878,0,9,252,1,NA
"858","tankless","tankless",882,0,6,103,1,NA
"859","pkg","pkg",883,0,5,93,1,NA
"860","colonial","coloni",884,0,7,161,1,NA
"866","marble","marbl",890,0,13,369,1,NA
"870","phinney","phinnei",895,0,19,356,1,NA
"872","flooded","flood",897,0,6,173,1,NA
"874","quaint","quaint",899,0,6,112,1,NA
"875","country","countri",900,0,6,157,1,NA
"876","bd","bd",901,0,9,149,1,82
"877","woodland","woodland",902,0,5,76,1,NA
"878","coffee","coffe",903,0,20,415,1,NA
"879","eateries","eateri",904,0,9,178,1,NA
"885","imagination","imagin",910,0,10,191,1,NA
"886","madrona","madrona",911,0,11,148,1,NA
"891","millwork","millwork",916,0,16,271,1,NA
"894","livability","livabl",920,0,5,90,1,NA
"895","walkability","walkabl",921,0,9,194,1,NA
"898","cascade","cascad",924,0,16,451,1,NA
"899","commercial","commerci",925,0,3,52,1,NA
"900","district","district",926,0,8,158,1,NA
"905","peace","peac",931,0,15,302,1,NA
"908","ease","eas",934,0,3,52,1,NA
"912","highlights","highlight",939,0,5,119,1,NA
"913","batchelder","batcheld",940,0,3,65,1,NA
"915","aesthetics","aesthet",943,0,3,38,1,NA
"917","verdant","verdant",945,0,4,52,1,NA
"918","fun","fun",946,0,11,263,1,NA
"919","mahogany","mahogani",947,0,9,214,1,NA
"920","woodwork","woodwork",948,0,10,168,1,NA
"924","permitted","permit",953,0,7,53,1,NA
