"","Full","Stem","Index","Min","Max","Total","Keep","Root_Index"
"928","variety","varieti",957,0,3,31,1,NA
"929","vegetables","veget",958,0,4,85,1,NA
"930","attic","attic",959,0,9,223,1,NA
"931","transit","transit",960,0,17,308,1,NA
"932","public","public",961,0,10,129,1,NA
"933","paths","path",962,0,4,77,1,NA
"934","carkeek","carkeek",963,0,5,117,1,NA
"935","fire","fire",964,0,12,204,1,89
"936","workshop","workshop",966,0,11,309,1,NA
"937","outbuildings","outbuild",967,0,10,95,1,NA
"938","appls","appl",968,0,13,256,1,91
"939","mantled","mantl",969,0,6,124,1,NA
"940","frpl","frpl",970,0,7,176,1,89
"941","california","california",971,0,4,67,1,NA
"946","dwntwn","dwntwn",976,0,3,31,1,355
"947","greenlake","greenlak",977,0,10,243,1,NA
"949","pantry","pantri",979,0,16,388,1,NA
"950","ballard","ballard",980,0,33,819,1,NA
"954","barbecue","barbecu",984,0,5,73,1,579
"956","grape","grape",986,0,3,40,1,NA
"960","bosch","bosch",990,0,3,70,1,NA
"961","ge","ge",991,0,5,37,1,NA
"962","refrigerator","refriger",992,0,4,108,1,NA
"963","european","european",993,0,4,49,1,NA
"964","professionally","profession",994,0,12,313,1,NA
"965","rocking","rock",995,0,8,228,1,NA
"966","chair","chair",996,0,8,191,1,NA
"968","bookcases","bookcas",998,0,6,88,1,NA
"969","playroom","playroom",999,0,4,51,1,NA
"970","barbeque","barbequ",1000,0,3,31,1,579
"971","chef","chef",1001,0,23,603,1,NA
"972","air","air",1002,0,13,308,1,NA
"974","morning","morn",1004,0,12,156,1,NA
"976","tudor","tudor",1006,0,4,47,1,NA
"978","stucco","stucco",1008,0,6,229,1,NA
"982","inspection","inspect",1012,0,4,30,1,NA
"984","vibe","vibe",1014,0,8,195,1,NA
"986","library","librari",1016,0,10,229,1,NA
"987","theater","theater",1017,0,11,258,1,NA
"988","moulding","mould",1018,0,7,118,1,NA
"989","tank","tank",1019,0,3,48,1,NA
"990","trellis","trelli",1020,0,6,140,1,NA
"992","metropolitan","metropolitan",1022,0,11,317,1,NA
"993","market","market",1023,0,3,44,1,NA
"997","ironwood","ironwood",1027,0,11,229,1,NA
"1002","jacuzzi","jacuzzi",1033,0,7,182,1,NA
"1005","laminate","lamin",1037,0,5,83,1,NA
"1006","skylights","skylight",1038,0,6,97,1,NA
"1007","staircase","staircas",1039,0,20,510,1,NA
"1009","greenhouse","greenhous",1041,0,3,43,1,NA
"1010","corian","corian",1042,0,3,52,1,NA
"1012","travertine","travertin",1045,0,5,46,1,NA
"1017","recroom","recroom",1050,0,13,324,1,NA
"1019","backsplash","backsplash",1052,0,6,106,1,NA
"1024","swim","swim",1057,0,5,87,1,NA
"1025","tennis","tenni",1058,0,6,76,1,NA
"1026","elem","elem",1059,0,7,87,1,424
"1027","zoning","zone",1060,0,4,66,1,NA
"1028","fremont","fremont",1061,0,10,154,1,NA
"1029","selling","sell",1062,0,11,190,1,NA
"1030","property","properti",1063,0,5,93,1,NA
"1031","tulip","tulip",1065,0,2,40,1,NA
"1034","cottage","cottag",1068,0,5,71,1,NA
"1037","whittier","whittier",1072,0,6,118,1,NA
"1040","walkscore","walkscor",1075,0,6,60,1,NA
"1049","gaming","game",1086,0,3,40,1,NA
"1050","sidewalks","sidewalk",1087,0,5,94,1,NA
"1051","meadowbrook","meadowbrook",1088,0,4,53,1,NA
"1052","4br","4br",1089,0,5,92,1,82
"1053","sink","sink",1090,0,4,30,1,NA
"1056","business","busi",1093,0,6,128,1,NA
"1060","sauna","sauna",1097,0,4,29,1,NA
"1061","vacuum","vacuum",1098,0,5,89,1,NA
"1064","2ba","2ba",1101,0,11,156,1,358
"1065","route","rout",1102,0,3,42,1,NA
"1066","kitch","kitch",1103,0,5,70,1,51
"1067","westerly","westerli",1104,0,5,132,1,NA
"1068","energy","energi",1105,0,4,84,1,NA
"1071","culinary","culinari",1108,0,9,108,1,NA
"1072","5th","5th",1109,0,3,26,1,NA
"1079","solarium","solarium",1116,0,7,177,1,NA
"1081","terrace","terrac",1118,0,5,53,1,NA
"1083","manteled","mantel",1120,0,17,468,1,NA
"1084","framing","frame",1121,0,4,54,1,NA
"1085","retro","retro",1122,0,11,196,1,NA
"1088","pine","pine",1125,0,2,39,1,NA
"1089","food","food",1126,0,5,74,1,NA
"1090","pipes","pipe",1127,0,6,76,1,NA
"1092","cosmetic","cosmet",1129,0,5,55,1,NA
"1094","traditional","tradit",1131,0,2,34,1,NA
"1095","cupboards","cupboard",1132,0,10,328,1,NA
"1099","residential","residenti",1136,0,15,372,1,NA
"1101","walnut","walnut",1138,0,10,215,1,NA
"1103","waterfront","waterfront",1140,0,3,47,1,NA
"1104","shipping","ship",1141,0,9,140,1,NA
"1111","needle","needl",1148,0,4,48,1,NA
"1113","development","develop",1150,0,10,304,1,NA
"1117","proudly","proudli",1154,0,5,145,1,2
"1118","boulevard","boulevard",1155,0,3,46,1,NA
"1120","foyer","foyer",1157,0,5,71,1,NA
"1121","anchored","anchor",1158,0,6,85,1,NA
"1122","grand","grand",1159,0,4,34,1,NA
"1125","stately","state",1162,0,6,104,1,NA
"1127","parlor","parlor",1164,0,3,41,1,NA
"1132","dinner","dinner",1169,0,3,32,1,NA
"1136","hood","hood",1174,0,14,339,1,NA
"1139","middle","middl",1177,0,3,29,1,NA
"1141","murphy","murphi",1179,0,3,37,1,NA
"1143","patch","patch",1181,0,3,53,1,NA
"1145","residence","resid",1183,0,5,47,1,NA
"1146","decorative","decor",1184,0,7,179,1,NA
"1147","archways","archwai",1185,0,3,45,1,NA
"1150","power","power",1188,0,9,152,1,NA
"1151","industrial","industri",1189,0,6,78,1,NA
"1152","fan","fan",1190,0,3,26,1,NA
"1155","shingle","shingl",1193,0,5,80,1,NA
"1156","upscale","upscal",1194,0,4,49,1,NA
"1157","ktchn","ktchn",1195,0,3,44,1,51
"1159","ensuite","ensuit",1197,0,4,82,1,NA
"1160","bathrm","bathrm",1198,0,5,69,1,358
"1161","bikes","bike",1199,0,3,35,1,NA
"1163","northwest","northwest",1202,0,6,48,1,NA
"1165","sac","sac",1204,0,8,121,1,NA
"1169","sleeping","sleep",1208,0,8,153,1,NA
"1170","yr","yr",1209,0,4,44,1,621
"1171","warranty","warranti",1210,0,5,130,1,NA
"1174","traffic","traffic",1213,0,4,82,1,NA
"1175","affords","afford",1214,0,5,63,1,NA
"1178","meticulously","meticul",1217,0,7,100,1,NA
"1180","dog","dog",1219,0,6,84,1,NA
"1181","run","run",1220,0,8,132,1,NA
"1183","metro","metro",1222,0,4,36,1,NA
"1184","investment","invest",1223,0,3,49,1,NA
"1185","ride","ride",1225,0,4,37,1,NA
"1186","ranch","ranch",1227,0,2,32,1,NA
"1187","union","union",1228,0,2,25,1,NA
"1188","skyline","skylin",1229,0,8,118,1,NA
"1190","duplex","duplex",1231,0,4,69,1,NA
"1196","mix","mix",1237,0,14,137,1,NA
"1197","informal","inform",1238,0,5,72,1,NA
"1198","butlers","butler",1241,0,8,173,1,NA
"1200","dayrooms","dayroom",1243,0,3,39,1,NA
"1201","redone","redon",1244,0,3,27,1,NA
"1202","rainy","raini",1245,0,7,114,1,NA
"1205","farmer","farmer",1248,0,4,56,1,NA
"1206","local","local",1249,0,5,97,1,NA
"1207","sunroom","sunroom",1250,0,13,197,1,NA
"1211","transportation","transport",1254,0,4,82,1,NA
"1212","swedish","swedish",1255,0,8,126,1,NA
"1213","speakers","speaker",1256,0,2,32,1,NA
"1214","sprinkler","sprinkler",1257,0,4,65,1,NA
"1216","ac","ac",1260,0,3,45,1,NA
"1218","lit","lit",1262,0,9,180,1,NA
"1219","shelving","shelv",1263,0,3,58,1,NA
"1221","bryant","bryant",1265,0,6,125,1,NA
"1224","flagstone","flagston",1268,0,12,212,1,NA
"1225","drenched","drench",1269,0,2,48,1,NA
"1226","honey","honei",1270,0,6,160,1,NA
"1227","pcc","pcc",1271,0,2,32,1,NA
"1229","magnuson","magnuson",1273,0,3,46,1,NA
"1231","anderson","anderson",1275,0,5,86,1,NA
"1234","fam","fam",1278,0,12,193,1,53
"1236","sustainably","sustain",1280,0,3,30,1,NA
"1237","paperstone","paperston",1281,0,4,27,1,NA
"1238","concrete","concret",1282,0,2,28,1,NA
"1240","bsmt","bsmt",1284,0,4,44,1,178
"1241","ravine","ravin",1285,0,16,254,1,NA
"1242","atrium","atrium",1286,0,3,29,1,NA
"1245","elliot","elliot",1289,0,10,215,1,689
"1252","gym","gym",1296,0,3,47,1,NA
"1255","nearby","nearbi",1299,0,8,191,1,NA
"1256","bakery","bakeri",1300,0,12,229,1,NA
"1260","italian","italian",1304,0,8,94,1,NA
"1262","hearth","hearth",1306,0,3,35,1,NA
"1270","mudroom","mudroom",1314,0,3,30,1,NA
"1272","east","east",1316,0,5,58,1,NA
"1273","acre","acr",1317,0,8,131,1,NA
"1274","walkway","walkwai",1318,0,6,116,1,NA
"1277","hallways","hallwai",1322,0,5,40,1,NA
"1278","historic","histor",1323,0,3,52,1,NA
"1279","kubota","kubota",1324,0,10,156,1,NA
"1281","h20","h20",1326,0,4,76,1,1334
"1282","tool","tool",1328,0,6,112,1,NA
"1286","oil","oil",1332,0,4,73,1,NA
"1288","h2o","h2o",1334,0,4,52,1,NA
"1289","engineered","engin",1335,0,4,100,1,NA
"1293","fourth","fourth",1339,0,2,49,1,NA
"1294","construction","construct",1340,0,3,46,1,NA
"1296","brazilian","brazilian",1342,0,6,105,1,NA
"1297","award","award",1343,0,5,91,1,NA
"1298","winning","win",1344,0,7,89,1,NA
"1300","afternoons","afternoon",1346,0,7,118,1,NA
"1301","starter","starter",1347,0,4,66,1,NA
"1302","vehicles","vehicl",1348,0,6,129,1,NA
"1303","wainscotting","wainscot",1349,0,4,37,1,NA
"1304","pedestal","pedest",1350,0,6,148,1,NA
"1305","scenic","scenic",1351,0,4,66,1,NA
"1306","shilshole","shilshol",1352,0,3,25,1,NA
"1307","artists","artist",1353,0,2,32,1,NA
"1308","palette","palett",1354,0,6,159,1,NA
"1309","pacific","pacif",1355,0,3,41,1,NA
"1310","buses","buse",1357,0,3,27,1,171
"1315","marmoleum","marmoleum",1362,0,4,70,1,NA
"1318","stream","stream",1365,0,10,133,1,NA
"1319","ponds","pond",1366,0,4,55,1,NA
"1320","ceramic","ceram",1367,0,5,87,1,NA
"1321","cup","cup",1369,0,3,63,1,NA
"1322","columbia","columbia",1370,0,3,26,1,NA
"1324","yesteryear","yesteryear",1372,0,2,32,1,NA
"1327","intimate","intim",1375,0,7,153,1,NA
"1328","oven","oven",1376,0,4,60,1,NA
"1329","microwave","microwav",1377,0,7,165,1,NA
"1330","casual","casual",1378,0,3,37,1,NA
"1331","polished","polish",1379,0,8,128,1,NA
"1332","flanked","flank",1380,0,5,91,1,NA
"1333","zen","zen",1381,0,3,66,1,NA
"1334","fountain","fountain",1382,0,3,52,1,NA
"1335","proximity","proxim",1383,0,3,50,1,NA
"1337","drink","drink",1385,0,3,39,1,NA
"1339","airport","airport",1387,0,4,52,1,NA
"1345","1st","1st",1394,0,4,70,1,NA
"1347","yoga","yoga",1396,0,2,39,1,NA
"1351","sunrise","sunris",1400,0,2,31,1,NA
"1353","quintessential","quintessenti",1402,0,3,29,1,NA
"1355","greenwood","greenwood",1404,0,4,49,1,NA
"1358","swing","swing",1407,0,3,49,1,NA
"1359","bertazzoni","bertazzoni",1408,0,3,36,1,NA
"1360","explore","explor",1409,0,2,25,1,NA
"1361","apos","apo",1410,0,4,26,1,NA
"1362","irrigation","irrig",1411,0,10,67,1,NA
"1363","discovery","discoveri",1412,0,3,39,1,NA
"1364","pizza","pizza",1413,0,7,136,1,NA
"1365","stroll","stroll",1414,0,3,27,1,NA
"1366","magnolia","magnolia",1415,0,11,212,1,NA
"1370","nanny","nanni",1419,0,13,400,1,NA
"1371","hardwds","hardwd",1420,0,3,44,1,101
"1372","courtyard","courtyard",1421,0,4,60,1,NA
"1373","grassy","grassi",1422,0,7,153,1,NA
"1376","sandstone","sandston",1425,0,5,75,1,NA
"1377","exercise","exercis",1426,0,5,40,1,NA
"1378","hip","hip",1427,0,4,68,1,NA
"1379","authentic","authent",1428,0,7,114,1,NA
"1380","slope","slope",1429,0,3,34,1,NA
"1381","protected","protect",1430,0,6,78,1,NA
"1382","manicured","manicur",1431,0,4,68,1,NA
"1385","burner","burner",1434,0,3,26,1,NA
"1386","playground","playground",1435,0,5,75,1,NA
"1389","accommodating","accommod",1438,0,9,110,1,NA
"1391","black","black",1440,0,3,34,1,NA
"1392","honed","hone",1441,0,2,44,1,NA
"1393","steam","steam",1442,0,4,50,1,NA
"1395","sunshine","sunshin",1444,0,6,97,1,90
"1396","baker","baker",1445,0,3,49,1,NA
"1398","cooler","cooler",1447,0,5,98,1,NA
"1401","condo","condo",1450,0,4,45,1,NA
"1406","queen","queen",1455,0,5,99,1,NA
"1407","anne","ann",1456,0,15,336,1,NA
"1408","bank","bank",1457,0,15,339,1,NA
"1410","vashon","vashon",1459,0,4,46,1,NA
"1411","sea","sea",1460,0,4,35,1,NA
"1412","southwest","southwest",1461,0,4,52,1,NA
"1417","architect","architect",1466,0,2,29,1,NA
"1418","cathedral","cathedr",1467,0,9,172,1,NA
"1423","bluff","bluff",1474,0,2,28,1,NA
"1428","birds","bird",1479,0,3,39,1,NA
"1429","cement","cement",1480,0,2,37,1,NA
"1434","treed","treed",1486,0,3,37,1,NA
"1435","eagles","eagl",1487,0,3,29,1,NA
"1436","canvas","canva",1488,0,3,26,1,NA
"1438","mechanicals","mechan",1490,0,3,56,1,NA
"1440","treasures","treasur",1492,0,3,38,1,NA
"1441","shutters","shutter",1493,0,5,67,1,NA
"1442","sky","sky",1494,0,4,50,1,NA
"1445","mosaic","mosaic",1498,0,9,223,1,NA
"1446","elements","element",1499,0,3,37,1,NA
"1447","butcher","butcher",1500,0,5,60,1,NA
"1449","westwood","westwood",1503,0,3,53,1,NA
"1452","eastside","eastsid",1507,0,5,60,1,NA
"1453","english","english",1508,0,6,66,1,NA
"1456","rebuilt","rebuilt",1511,0,4,54,1,NA
"1457","bsmnt","bsmnt",1512,0,6,87,1,178
"1458","bdr","bdr",1513,0,5,78,1,82
"1459","installed","instal",1514,0,6,67,1,NA
"1461","turnkey","turnkei",1517,0,4,69,1,NA
"1462","bookshelves","bookshelv",1518,0,5,69,1,NA
"1463","buy","bui",1519,0,5,64,1,NA
"1466","seaview","seaview",1522,0,3,29,1,NA
"1468","cooktop","cooktop",1524,0,6,130,1,NA
"1469","grill","grill",1525,0,3,59,1,NA
"1470","mkt","mkt",1526,0,2,39,1,1023
"1472","yd","yd",1528,0,7,90,1,56
"1473","chicken","chicken",1529,0,4,69,1,NA
"1474","neighbor","neighbor",1530,0,3,50,1,NA
"1477","pretty","pretti",1534,0,3,48,1,NA
"1478","practical","practic",1535,0,4,60,1,NA
"1479","picket","picket",1536,0,4,51,1,NA
"1482","belvidere","belvider",1540,0,3,31,1,NA
"1484","dry","dry",1542,0,5,85,1,NA
"1486","hutch","hutch",1544,0,3,27,1,NA
"1487","crisp","crisp",1545,0,3,51,1,NA
"1495","boundary","boundari",1553,0,5,66,1,NA
"1496","radiates","radiat",1554,0,3,40,1,NA
"1502","native","nativ",1563,0,2,35,1,NA
"1507","warmth","warmth",1569,0,3,37,1,NA
"1508","bellevue","bellevu",1571,0,5,74,1,NA
"1510","japanese","japanes",1573,0,2,30,1,NA
"1516","gaze","gaze",1581,0,3,34,1,NA
"1517","madison","madison",1582,0,2,27,1,NA
"1518","picturesque","picturesqu",1583,0,8,178,1,NA
"1519","playfield","playfield",1584,0,6,84,1,NA
"1523","stage","stage",1589,0,4,40,1,NA
"1524","sunlight","sunlight",1590,0,3,37,1,90
"1525","lk","lk",1591,0,6,90,1,284
"1526","daily","daili",1592,0,6,103,1,NA
"1528","environment","environ",1594,0,7,95,1,NA
"1529","canal","canal",1595,0,2,26,1,NA
"1530","locks","lock",1596,0,4,60,1,NA
"1531","bridge","bridg",1597,0,4,73,1,NA
"1535","waterfalls","waterfal",1601,0,2,27,1,NA
"1541","orig","orig",1607,0,3,33,1,117
"1542","gazebo","gazebo",1608,0,3,48,1,NA
"1546","thermal","thermal",1612,0,3,42,1,NA
"1548","alcove","alcov",1614,0,7,136,1,NA
"1549","limestone","limeston",1615,0,3,43,1,NA
"1551","toilet","toilet",1617,0,3,25,1,NA
"1552","birch","birch",1618,0,3,53,1,NA
"1553","rain","rain",1619,0,2,32,1,NA
"1555","hall","hall",1621,0,5,53,1,NA
"1556","study","studi",1622,0,5,76,1,NA
"1561","marina","marina",1628,0,3,43,1,NA
"1562","shopprop","shopprop",1629,0,4,47,1,NA
"1567","company","compani",1634,0,4,39,1,NA
"1577","restful","rest",1645,0,2,29,1,NA
"1578","buslines","buslin",1646,0,3,56,1,171
"1579","townhome","townhom",1647,0,3,43,1,NA
"1581","miele","miel",1649,0,10,185,1,NA
"1582","wedgwood","wedgwood",1650,0,4,50,1,1652
"1584","wedgewood","wedgewood",1652,0,3,46,1,NA
"1587","bthrms","bthrm",1655,0,5,72,1,358
"1588","spring","spring",1656,0,3,45,1,NA
"1589","mud","mud",1657,0,6,65,1,NA
"1593","social","social",1661,0,4,55,1,NA
"1595","case","case",1663,0,9,113,1,NA
"1597","foundation","foundat",1665,0,5,70,1,NA
"1605","husky","huski",1673,0,9,194,1,NA
"1606","stadium","stadium",1674,0,3,28,1,NA
"1609","matthews","matthew",1677,0,4,32,1,NA
"1612","pear","pear",1680,0,3,29,1,NA
"1613","offstreet","offstreet",1682,0,3,23,1,NA
"1616","dormer","dormer",1685,0,5,64,1,NA
"1617","zoo","zoo",1686,0,2,23,1,NA
"1618","herbs","herb",1687,0,7,106,1,NA
"1619","bistros","bistro",1688,0,2,35,1,NA
"1620","friends","friend",1689,0,3,28,1,NA
"1621","hardware","hardwar",1690,0,10,195,1,NA
"1622","perennial","perenni",1691,0,4,79,1,NA
"1623","sconces","sconc",1693,0,5,77,1,NA
"1630","victorian","victorian",1700,0,7,129,1,NA
"1631","china","china",1701,0,3,63,1,NA
"1632","ave","av",1702,0,4,36,1,NA
"1636","movie","movi",1708,0,3,49,1,NA
"1638","historichomesinseattle","historichomesinseattl",1710,0,4,58,1,NA
"1639","amazon","amazon",1711,0,5,31,1,NA
"1645","sand","sand",1719,0,4,57,1,NA
"1646","stars","star",1720,0,3,35,1,NA
"1648","nightlife","nightlif",1722,0,5,58,1,NA
"1649","coffered","coffer",1723,0,2,25,1,NA
"1652","claw","claw",1726,0,3,27,1,NA
"1656","workbench","workbench",1734,0,7,41,1,NA
"1663","tiered","tier",1742,0,2,24,1,NA
"1664","tenant","tenant",1743,0,5,39,1,NA
"1665","playhouse","playhous",1744,0,3,25,1,NA
"1666","iron","iron",1745,0,3,48,1,NA
"1668","prominent","promin",1749,0,2,35,1,NA
"1669","king","king",1750,0,3,28,1,NA
"1671","row","row",1752,0,4,100,1,NA
"1673","rooftop","rooftop",1755,0,5,58,1,NA
"1677","unpainted","unpaint",1759,0,2,35,1,NA
"1678","address","address",1760,0,2,29,1,NA
"1679","stanford","stanford",1761,0,2,23,1,NA
"1680","earthquake","earthquak",1762,0,2,23,1,NA
"1681","retrofitting","retrofit",1763,0,3,44,1,NA
"1682","wolf","wolf",1764,0,3,68,1,NA
"1683","subzero","subzero",1766,0,7,137,1,NA
"1685","crystal","crystal",1768,0,4,70,1,NA
"1686","book","book",1769,0,2,28,1,NA
"1687","hook","hook",1770,0,6,92,1,NA
"1694","21st","21st",1778,0,2,33,1,NA
"1695","soapstone","soapston",1779,0,2,32,1,NA
"1697","stairway","stairwai",1781,0,2,26,1,NA
"1699","plums","plum",1783,0,2,27,1,NA
"1700","toys","toi",1784,0,2,41,1,NA
"1702","plastered","plaster",1786,0,2,29,1,NA
"1703","positioned","posit",1787,0,2,28,1,NA
"1704","proportioned","proport",1788,0,3,43,1,NA
"1705","amount","amount",1789,0,4,38,1,NA
"1707","golf","golf",1791,0,6,69,1,NA
"1708","international","intern",1792,0,7,140,1,NA
"1709","valley","vallei",1793,0,3,29,1,NA
"1713","wndws","wndw",1797,0,2,48,1,79
"1714","doorknobs","doorknob",1798,0,2,27,1,NA
"1715","upside","upsid",1799,0,4,26,1,NA
"1716","salmon","salmon",1800,0,3,36,1,NA
"1717","boutique","boutiqu",1801,0,5,54,1,NA
"1720","celebrations","celebr",1804,0,7,114,1,NA
"1723","raspberries","raspberri",1807,0,6,90,1,NA
"1724","sprawling","sprawl",1808,0,3,27,1,NA
"1725","underground","underground",1809,0,4,37,1,NA
"1731","sylvan","sylvan",1815,0,6,51,1,NA
"1732","fplcs","fplc",1816,0,2,25,1,89
"1735","contractor","contractor",1819,0,3,45,1,NA
"1736","shade","shade",1820,0,2,38,1,NA
"1738","forest","forest",1822,0,3,46,1,NA
"1739","jefferson","jefferson",1823,0,3,42,1,NA
"1740","course","cours",1824,0,4,59,1,NA
"1741","pouring","pour",1826,0,2,29,1,NA
"1742","faucet","faucet",1827,0,2,37,1,NA
"1743","prkg","prkg",1828,0,3,30,1,883
"1745","filter","filter",1830,0,5,74,1,NA
"1747","seatac","seatac",1832,0,3,26,1,NA
"1750","malls","mall",1835,0,3,33,1,NA
"1751","apt","apt",1836,0,4,76,1,294
"1754","vacant","vacant",1839,0,4,35,1,NA
"1755","yrd","yrd",1840,0,5,34,1,56
"1756","applcs","applc",1841,0,4,31,1,91
"1758","grass","grass",1843,0,3,36,1,NA
"1762","buffet","buffet",1847,0,4,39,1,NA
"1764","windermere","windermer",1849,0,4,30,1,NA
"1767","sunlit","sunlit",1852,0,2,36,1,90
"1768","redesigned","redesign",1853,0,3,33,1,NA
"1769","arboretum","arboretum",1854,0,3,29,1,NA
"1770","laurelhurst","laurelhurst",1855,0,6,113,1,NA
"1773","i5","i5",1858,0,4,65,1,NA
"1774","express","express",1859,0,6,60,1,NA
"1777","hwy","hwy",1862,0,3,26,1,NA
"1780","bordered","border",1865,0,5,43,1,NA
"1788","pvt","pvt",1874,0,3,25,1,NA
"1789","college","colleg",1875,0,3,31,1,NA
"1790","northgate","northgat",1876,0,2,29,1,NA
"1791","pinehurst","pinehurst",1877,0,7,144,1,NA
"1792","pavers","paver",1878,0,4,36,1,NA
"1794","desk","desk",1880,0,2,29,1,NA
"1796","chimney","chimnei",1882,0,3,30,1,NA
"1799","koi","koi",1885,0,2,26,1,NA
"1800","dock","dock",1886,0,3,25,1,NA
"1801","ambiance","ambianc",1887,0,6,64,1,NA
"1804","financing","financ",1890,0,3,39,1,NA
"1806","priv","priv",1892,0,2,29,1,45
"1811","interbay","interbai",1898,0,2,32,1,NA
"1812","plantation","plantat",1900,0,2,30,1,NA
"1813","blvd","blvd",1901,0,4,26,1,1155
"1815","proud","proud",1903,0,3,35,1,2
"1817","1bath","1bath",1905,0,5,53,1,358
"1819","bkyd","bkyd",1907,0,3,37,1,56
"1821","rustic","rustic",1909,0,3,40,1,NA
"1823","canopy","canopi",1911,0,3,42,1,NA
"1825","deluxe","delux",1913,0,3,36,1,NA
"1827","cash","cash",1916,0,4,27,1,NA
"1829","berry","berri",1918,0,3,34,1,NA
"1830","capitol","capitol",1919,0,2,31,1,NA
"1831","internet","internet",1920,0,6,158,1,NA
"1833","river","river",1922,0,6,52,1,NA
"1834","hub","hub",1923,0,2,29,1,NA
"1835","hawthorn","hawthorn",1924,0,2,32,1,NA
"1837","blaine","blain",1926,0,2,25,1,NA
"1839","seward","seward",1928,0,4,48,1,NA
"1840","eco","eco",1929,0,15,248,1,NA
"1843","75ba","75ba",1933,0,3,38,1,358
"1844","dollars","dollar",1935,0,2,29,1,1916
"1845","broadmoor","broadmoor",1936,0,4,39,1,NA
"1846","chandeliers","chandeli",1937,0,2,32,1,NA
"1847","shore","shore",1938,0,3,29,1,NA
"1849","hedge","hedg",1940,0,5,30,1,NA
"1851","imported","import",1943,0,3,30,1,NA
"1853","jackson","jackson",1945,0,3,38,1,NA
"1854","thornton","thornton",1946,0,3,34,1,NA
"1856","leaf","leaf",1948,0,5,63,1,NA
"1857","victory","victori",1949,0,10,276,1,NA
"1858","portage","portag",1950,0,3,33,1,NA
"1859","4bd","4bd",1952,0,2,46,1,82
"1861","costs","cost",1956,0,4,34,1,NA
"1862","eastern","eastern",1957,0,3,26,1,NA
"1866","tech","tech",1961,0,3,48,1,NA
"1868","tangletown","tangletown",1963,0,2,27,1,NA
"1870","highland","highland",1965,0,3,40,1,NA
"1871","judkins","judkin",1966,0,4,61,1,NA
"1872","artisan","artisan",1967,0,3,24,1,NA
"1873","volunteer","volunt",1969,0,2,25,1,NA
"1874","composite","composit",1970,0,2,29,1,NA
"1876","2bd","2bd",1972,0,3,52,1,82
"1881","aurora","aurora",1977,0,4,65,1,NA
"1882","montlake","montlak",1978,0,2,29,1,NA
